"gameid","sportid","team1id","team2id","datetime"
550,3,Bengals,Browns,"2022-12-11 13:00:00"
551,3,Cowboys,Texans,"2022-12-11 13:00:00"
552,3,Lions,Vikings,"2022-12-11 13:00:00"
553,3,Titans,Jaguars,"2022-12-11 13:00:00"
554,3,Steelers,Ravens,"2022-12-11 13:00:00"
555,3,Broncos,Chiefs,"2022-12-11 16:05:00"
556,3,"49ers",Buccaneers,"2022-12-11 16:25:00"
557,3,Seahawks,Panthers,"2022-12-11 16:25:00"
558,3,Cardinals,Patriots,"2022-12-12 20:15:00"
559,3,Seahawks,"49ers","2022-12-15 20:15:00"
560,3,Vikings,Colts,"2022-12-17 13:00:00"
561,3,Browns,Ravens,"2022-12-17 16:30:00"
562,3,Bills,Dolphins,"2022-12-17 20:15:00"
563,3,Bears,Eagles,"2022-12-18 13:00:00"
564,3,Saints,Falcons,"2022-12-18 13:00:00"
565,3,Panthers,Steelers,"2022-12-18 13:00:00"
566,3,Jaguars,Cowboys,"2022-12-18 13:00:00"
567,3,Texans,Chiefs,"2022-12-18 13:00:00"
568,3,Broncos,Cardinals,"2022-12-18 16:05:00"
569,3,Raiders,Patriots,"2022-12-18 16:05:00"
570,3,Buccaneers,Bengals,"2022-12-18 16:25:00"
645,2,Charlotte Hornets,New York Knicks,"2022-12-09 19:00:00"
646,2,Indiana Pacers,Washington Wizards,"2022-12-09 19:00:00"
647,2,Orlando Magic,Toronto Raptors,"2022-12-09 19:00:00"
648,2,Brooklyn Nets,Atlanta Hawks,"2022-12-09 19:30:00"
649,2,Cleveland Cavaliers,Sacramento Kings,"2022-12-09 19:30:00"
650,2,Philadelphia 76ers,Los Angeles Lakers,"2022-12-09 19:30:00"
651,2,Memphis Grizzlies,Detroit Pistons,"2022-12-09 20:00:00"
652,2,New Orleans Pelicans,Phoenix Suns,"2022-12-09 20:30:00"
653,2,Utah Jazz,Minnesota Timberwolves,"2022-12-09 21:00:00"
654,2,Dallas Mavericks,Milwaukee Bucks,"2022-12-09 22:00:00"
655,2,Miami Heat,San Antonio Spurs,"2022-12-10 17:00:00"
656,2,Indiana Pacers,Brooklyn Nets,"2022-12-10 19:00:00"
657,2,Washington Wizards,LA Clippers,"2022-12-10 19:00:00"
658,2,Cleveland Cavaliers,Oklahoma City Thunder,"2022-12-10 19:30:00"
659,2,Chicago Bulls,Dallas Mavericks,"2022-12-10 20:00:00"
660,2,Golden State Warriors,Boston Celtics,"2022-12-10 20:30:00"
661,2,Denver Nuggets,Utah Jazz,"2022-12-10 21:00:00"
662,2,Portland Trail Blazers,Minnesota Timberwolves,"2022-12-10 22:00:00"
663,2,New Orleans Pelicans,Phoenix Suns,"2022-12-11 15:30:00"
664,2,Detroit Pistons,Los Angeles Lakers,"2022-12-11 18:00:00"
665,2,New York Knicks,Sacramento Kings,"2022-12-11 18:00:00"
666,2,Orlando Magic,Toronto Raptors,"2022-12-11 18:00:00"
667,2,Philadelphia 76ers,Charlotte Hornets,"2022-12-11 18:00:00"
668,2,Atlanta Hawks,Chicago Bulls,"2022-12-11 18:30:00"
669,2,Houston Rockets,Milwaukee Bucks,"2022-12-11 19:00:00"
670,2,Indiana Pacers,Miami Heat,"2022-12-12 19:00:00"
671,2,Washington Wizards,Brooklyn Nets,"2022-12-12 19:00:00"
672,2,Memphis Grizzlies,Atlanta Hawks,"2022-12-12 20:00:00"
673,2,Dallas Mavericks,Oklahoma City Thunder,"2022-12-12 20:30:00"
674,2,San Antonio Spurs,Cleveland Cavaliers,"2022-12-12 20:30:00"
675,2,Portland Trail Blazers,Minnesota Timberwolves,"2022-12-12 22:00:00"
676,2,LA Clippers,Boston Celtics,"2022-12-12 22:30:00"
677,2,Philadelphia 76ers,Sacramento Kings,"2022-12-13 19:00:00"
678,2,Milwaukee Bucks,Golden State Warriors,"2022-12-13 19:30:00"
679,2,Houston Rockets,Phoenix Suns,"2022-12-13 20:00:00"
680,2,Utah Jazz,New Orleans Pelicans,"2022-12-13 21:00:00"
681,2,Los Angeles Lakers,Boston Celtics,"2022-12-13 22:00:00"
682,2,Charlotte Hornets,Detroit Pistons,"2022-12-14 19:00:00"
683,2,Indiana Pacers,Golden State Warriors,"2022-12-14 19:00:00"
684,2,Orlando Magic,Atlanta Hawks,"2022-12-14 19:00:00"
685,2,Toronto Raptors,Sacramento Kings,"2022-12-14 19:30:00"
686,2,Chicago Bulls,New York Knicks,"2022-12-14 19:30:00"
687,2,Oklahoma City Thunder,Miami Heat,"2022-12-14 20:00:00"
688,2,San Antonio Spurs,Portland Trail Blazers,"2022-12-14 20:00:00"
689,2,Dallas Mavericks,Cleveland Cavaliers,"2022-12-14 21:00:00"
690,2,Denver Nuggets,Washington Wizards,"2022-12-14 21:00:00"
691,2,LA Clippers,Minnesota Timberwolves,"2022-12-14 22:00:00"
